;OBJECTID;�.rea;NOME;NOME2;REGIAO_ADM;AREA_PLANE;CODBAIRRO;CODRA;CODBNUM;LINK;SHAPESTAre;SHAPESTLen;RP;Cod_RP;CODBAIRRO_
81;398;283.897.071.254.951;Cascadura;CASCADURA;MADUREIRA;3;82;15;82;Cascadura                 &area=82;283.897.070.166.016;905.640.401.839.741;Madureira;3.3;82
82;385;378.761.337.730.026;Madureira;MADUREIRA;MADUREIRA;3;83;15;83;Madureira                 &area=83;378.761.332.128.906;957.436.204.049.823;Madureira;3.3;83
83;377;110.122.091.837.043;Vaz Lobo;VAZ LOBO;MADUREIRA;3;84;15;84;Vaz Lobo                  &area=84;110.122.096.240.234;503.056.732.214.175;Madureira;3.3;84
84;380;125.580.963.115.859;Turiaçú;TURIA�U;MADUREIRA;3;85;15;85;Turiaçú                   &area=85;125.580.962.109.375;537.819.256.141.408;Madureira;3.3;85
85;368;288.670.551.886.056;Rocha Miranda;ROCHA MIRANDA;MADUREIRA;3;86;15;86;Rocha Miranda             &area=86;288.670.552.392.578;916.672.336.194.487;Madureira;3.3;86
86;362;137.484.704.953.346;Honório Gurgel;HON�RIO GURGEL;MADUREIRA;3;87;15;87;Honório Gurgel            &area=87;137.484.705.664.062;688.458.416.330.128;Madureira;3.3;87
87;386;207.112.676.471.883;Osvaldo Cruz;OSVALDO CRUZ;MADUREIRA;3;88;15;88;Osvaldo Cruz              &area=88;207.112.677.880.859;694.273.937.529.621;Madureira;3.3;88
88;379;303.784.661.329.216;Bento Ribeiro;BENTO RIBEIRO;MADUREIRA;3;89;15;89;Bento Ribeiro             &area=89;303.784.662.695.312;850.603.605.126.656;Madureira;3.3;89
89;372;388.622.562.184.687;Marechal Hermes;MARECHAL HERMES;MADUREIRA;3;90;15;90;Marechal Hermes           &area=90;388.622.566.064.453;119.469.688.277.185;Madureira;3.3;90
90;354;86.192.480.006.919;Ribeira;RIBEIRA;ILHA DO GOVERNADOR;3;91;20;91;Ribeira                   &area=91;861.924.822.753.906;705.003.139.697.009;Ilha do Governador;3.7;91
91;353;16.111.779.641.075;Zumbi;ZUMBI;ILHA DO GOVERNADOR;3;92;20;92;Zumbi                     &area=92;161.117.784.179.688;212.252.133.186.571;Ilha do Governador;3.7;92
92;345;206.868.608.647.993;Cacuia;CACUIA;ILHA DO GOVERNADOR;3;93;20;93;Cacuia                    &area=93;206.868.608.105.469;102.323.328.821.303;Ilha do Governador;3.7;93
93;349;60.412.976.911.442;Pitangueiras;PITANGUEIRAS;ILHA DO GOVERNADOR;3;94;20;94;Pitangueiras              &area=94;604.129.774.902.344;351.409.148.727.175;Ilha do Governador;3.7;94
94;342;37.940.590.678.979;Praia da Bandeira;PRAIA DA BANDEIRA;ILHA DO GOVERNADOR;3;95;20;95;Praia da Bandeira         &area=95;379.405.898.925.781;342.322.210.542.095;Ilha do Governador;3.7;95
95;334;49.010.242.768.171;Cocotá;COCOT�;ILHA DO GOVERNADOR;3;96;20;96;Cocotá                    &area=96;490.102.430.175.781;479.907.169.059.558;Ilha do Governador;3.7;96
